object_type	schema_name	object_name	detected_datatype
P	demo	pr_pkg_trace	raw
F	demo	fn_pkg_trace	raw
F	demo_cron	fn_random_clob	clob
F	pkg_text_api	fn_make_clob	clob
F	public	fn_decrypt	raw
F	public	fn_decrypt	raw
F	public	fn_decrypt	raw
F	public	fn_encrypt	raw
F	public	fn_encrypt	raw
F	public	fn_encrypt	raw
F	public	fn_encrypt	raw
P	sc_crypto	proc_generate_crypto_data	raw
P	sc_crypto	proc_generate_crypto_data	raw
P	sc_crypto	proc_generate_crypto_data	raw
P	sc_crypto	proc_generate_crypto_data	raw
