object_type	schema_name	table_name	target_name	expression
DEFAULT VALUE	dbms_aqadm	aq$_purge_options_t	block	false
DEFAULT VALUE	dbms_aqadm	aq$_purge_options_t	delivery_mode	sys.dbms_aqadm.persistent
DEFAULT VALUE	dbms_aq	enqueue_options_t	visibility	sys.dbms_aq.on_commit
DEFAULT VALUE	dbms_aq	enqueue_options_t	transformation	NULL::character varying
DEFAULT VALUE	dbms_aq	enqueue_options_t	delivery_mode	sys.dbms_aq.persistent
DEFAULT VALUE	dbms_aq	message_properties_t	priority	1
DEFAULT VALUE	dbms_aq	message_properties_t	delay	sys.dbms_aq.no_delay
DEFAULT VALUE	dbms_aq	message_properties_t	expiration	sys.dbms_aq.never
DEFAULT VALUE	dbms_aq	message_properties_t	correlation	NULL::character varying
DEFAULT VALUE	dbms_aq	message_properties_t	exception_queue	NULL::character varying
DEFAULT VALUE	dbms_aq	message_properties_t	transaction_group	NULL::character varying
DEFAULT VALUE	dbms_aq	message_properties_t	delivery_mode	sys.dbms_aq.persistent
DEFAULT VALUE	dbms_aq	dequeue_options_t	consumer_name	NULL::character varying
DEFAULT VALUE	dbms_aq	dequeue_options_t	dequeue_mode	sys.dbms_aq.remove
DEFAULT VALUE	dbms_aq	dequeue_options_t	navigation	sys.dbms_aq.next_message
DEFAULT VALUE	dbms_aq	dequeue_options_t	visibility	sys.dbms_aq.on_commit
DEFAULT VALUE	dbms_aq	dequeue_options_t	wait	sys.dbms_aq.forever
DEFAULT VALUE	dbms_aq	dequeue_options_t	correlation	NULL::character varying
DEFAULT VALUE	dbms_aq	dequeue_options_t	deq_condition	NULL::character varying
DEFAULT VALUE	dbms_aq	dequeue_options_t	transformation	NULL::character varying
DEFAULT VALUE	dbms_aq	dequeue_options_t	delivery_mode	sys.dbms_aq.persistent
DEFAULT VALUE	public	test1	id	nextval('test1_id_seq'::regclass)
DEFAULT VALUE	public	test2	id	nextval('test2_id_seq'::regclass)
DEFAULT VALUE	demo	customers	created_at	sysdate
DEFAULT VALUE	demo	orders	ordered_at	sysdate
DEFAULT VALUE	demo	customer_docs	created_at	sysdate
DEFAULT VALUE	demo	large_text_chunks	created_at	sysdate
DEFAULT VALUE	demo	large_binary_chunks	created_at	sysdate
DEFAULT VALUE	demo_cron	batch_history	created_at	sysdate
DEFAULT VALUE	demo_cron	txn_events	event_time	sysdate
DEFAULT VALUE	demo_cron	sensor_metrics	metric_time	sysdate
DEFAULT VALUE	demo_cron	payload_store	created_at	sysdate
DEFAULT VALUE	public	a5	reg_date	sysdate
DEFAULT VALUE	public	epas_emp_contracts	contract_date	systimestamp
DEFAULT VALUE	public	t5	rowid	nextval('rowid_global_seq'::regclass)
DEFAULT VALUE	public	t_basic_info	created_at	now()
DEFAULT VALUE	public	tb_ddl_migration_test	created_at	sysdate
DEFAULT VALUE	sc_crypto	user_secure_data	created_at	sysdate
DEFAULT VALUE	public	t1	id	nextval('t1_id_seq'::regclass)
DEFAULT VALUE	public	t_basic_info	id	nextval('t_basic_info_id_seq'::regclass)
DEFAULT VALUE	public	t_bulk_data	seq_id	nextval('t_bulk_data_seq_id_seq'::regclass)
CHECK CONSTRAINT	public	tb_ddl_migration_test	chk_emp_id_valid	[Detected Columns] emp_id\n(nvl(emp_id, (0)::numeric) >= (0)::numeric)
CHECK CONSTRAINT	public	tb_ddl_migration_test	chk_emp_status	[Detected Columns] emp_status\n(\nDECODE(  emp_status\n    , ('Y'::text)::character varying\n    , 1\n    , ('N'::text)::character varying\n    , 0\n    , '-1'::integer\n) >= 0)
INDEX EXPRESSION	public	tb_ddl_migration_test	idx_created_at_add_months	add_months(created_at, (6)::numeric)
