object_type	schema_name	object_name	detected_keyword
F	pkg_01	get_value	edbspl
F	pkg_02	get_value	edbspl
F	pkg_03	get_value	edbspl
F	pkg_04	get_value	edbspl
F	pkg_05	get_value	edbspl
F	pkg_06	get_value	edbspl
F	pkg_07	get_value	edbspl
F	pkg_08	get_value	edbspl
F	pkg_09	get_value	edbspl
F	pkg_10	get_value	edbspl
P	public	calc_emp_bonus	edbspl
P	public	calc_emp_bonus	sqlerrm
F	public	edb_password_verify	edbspl
F	public	fn_decrypt	dbms_crypto.hash
F	public	fn_decrypt	dbms_crypto
F	public	fn_decrypt	dbms_crypto.decrypt
F	public	fn_decrypt	raw
F	public	fn_decrypt	raw
F	public	fn_decrypt	raw
F	public	fn_decrypt	dbms_crypto.decrypt
F	public	fn_decrypt	edbspl
F	public	fn_encrypt	dbms_crypto.encrypt
F	public	fn_encrypt	raw
F	public	fn_encrypt	raw
F	public	fn_encrypt	raw
F	public	fn_encrypt	dbms_crypto.hash
F	public	fn_encrypt	edbspl
F	public	fn_encrypt	raw
F	public	fn_encrypt	dbms_crypto
F	public	fn_encrypt	dbms_crypto.encrypt
F	public	fn_migration_test	nvl
F	public	fn_migration_test	decode
F	public	fn_migration_test	sysdate
F	public	fn_migration_test	nvl
F	public	fn_migration_test	decode
F	public	get_sysdate	sysdate
F	public	get_sysdate	edbspl
F	public	sal_lt_2000	edbspl
F	public	verify_session_user	edbspl
V	public	v_epas_contract_info	systimestamp
V	public	v_epas_contract_info	nvl
V	public	v_epas_contract_info	nvl
V	public	v_epas_contract_info	add_months
P	sc_crypto	proc_generate_crypto_data	raw
P	sc_crypto	proc_generate_crypto_data	edbspl
P	sc_crypto	proc_generate_crypto_data	raw
P	sc_crypto	proc_generate_crypto_data	dbms_crypto.encrypt
P	sc_crypto	proc_generate_crypto_data	dbms_crypto.hash
P	sc_crypto	proc_generate_crypto_data	dbms_crypto.randombytes
P	sc_crypto	proc_generate_crypto_data	raw
P	sc_crypto	proc_generate_crypto_data	raw
