object_type	schema_name	object_name	source_text
P	public	calc_emp_bonus	Schema: public\nName: calc_emp_bonus\nResult data type: \nArgument data types: IN p_contract_id numeric, IN p_bonus_rate numeric, OUT p_new_salary numeric\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: definer\nLanguage: edbspl\nSource code:\n    -- 변수 선언부 (Oracle 데이터 타입인 VARCHAR2 사용 가능)\n    v_emp_name    VARCHAR2(50);\n    v_base_salary NUMERIC;\nBEGIN\n    -- 1. 직원 정보 조회 (암시적 커서)\n    SELECT emp_name, base_salary \n    INTO v_emp_name, v_base_salary\n    FROM epas_emp_contracts\n    WHERE contract_id = p_contract_id;\n    -- 2. 새로운 급여 계산\n    p_new_salary := v_base_salary + (v_base_salary * p_bonus_rate / 100);\n    -- 3. 결과 로그 출력 (Oracle 호환 내장 패키지 사용)\n    DBMS_OUTPUT.PUT_LINE('====================================');\n    DBMS_OUTPUT.PUT_LINE('직원명: ' || v_emp_name);\n    DBMS_OUTPUT.PUT_LINE('기존 급여: ' || v_base_salary);\n    DBMS_OUTPUT.PUT_LINE('보너스 적용 급여: ' || p_new_salary);\n    DBMS_OUTPUT.PUT_LINE('====================================');\nEXCEPTION\n    -- 예외 처리부 (Oracle 호환 예외 코드)\n    WHEN NO_DATA_FOUND THEN\n        DBMS_OUTPUT.PUT_LINE('오류: 사번 ' || p_contract_id || '에 해당하는 직원이 없습니다.');\n        p_new_salary := 0;\n    WHEN OTHERS THEN\n        DBMS_OUTPUT.PUT_LINE('알 수 없는 오류 발생: ' || SQLERRM);\n        p_new_salary := -1;\nEND
F	public	edb_password_verify	Schema: public\nName: edb_password_verify\nResult data type: boolean\nArgument data types: p_username text, p_password text, p_old_password text\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\nBEGIN\n    -- 1. 최소 길이 체크 (8자 미만)\n    IF length(p_password) < 8 THEN\n        RAISE EXCEPTION 'Password is too short (minimum 8 characters)';\n    END IF;\n    -- 2. 사용자 ID와 동일한지 체크\n    IF p_password = p_username THEN\n        RAISE EXCEPTION 'Password cannot be the same as the username';\n    END IF;\n    \n    -- 3. (선택사항) 이전 비밀번호와 동일한지 체크는 EDB가 PASSWORD_REUSE 옵션으로 알아서 하므로 여기서 굳이 안 해도 됩니다.\n    RETURN true; -- 통과 시 true 반환\nEND;\n
F	public	edb_password_verify	Schema: public\nName: edb_password_verify\nResult data type: boolean\nArgument data types: p_username character varying, p_password character varying, p_old_password character varying\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: definer\nLanguage: edbspl\nSource code:\nBEGIN\n    -- 기존 로직 (예시)\n    IF length(p_password) < 4 THEN\n        RETURN FALSE;\n    END IF;\n    RETURN TRUE;\nEND
F	public	fn_count_bulk	Schema: public\nName: fn_count_bulk\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\nDECLARE\n    cnt integer;\nBEGIN\n    SELECT count(*) INTO cnt FROM t_bulk_data;\n    RETURN cnt;\nEND;\n
F	public	fn_decrypt	Schema: public\nName: fn_decrypt\nResult data type: text\nArgument data types: p_data bytea\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\nDECLARE\n    v_res TEXT;\nBEGIN\n    -- EDB 패키지 (dbms_crypto, utl_raw) 사용\n    v_res := utl_raw.cast_to_varchar2(dbms_crypto.decrypt(p_data));\n    RETURN v_res;\nEND;\n
F	public	fn_decrypt	Schema: public\nName: fn_decrypt\nResult data type: character varying\nArgument data types: p_enc_hex character varying, p_key character varying\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: definer\nLanguage: edbspl\nSource code:\n    v_enc_raw    RAW(32767);\n    v_dec_raw    RAW(32767);\n    v_key_raw    RAW(32);\n    \n    -- [수정] 암호화와 동일하게 4358 사용\n    v_algo_type  PLS_INTEGER := 4358;\nBEGIN\n    IF p_enc_hex IS NULL THEN\n        RETURN NULL;\n    END IF;\n    v_enc_raw := HEXTORAW(p_enc_hex);\n    -- [수정] 복호화 키 생성도 동일하게 MD5(2) 사용\n    v_key_raw := SYS.DBMS_CRYPTO.HASH(SYS.UTL_RAW.CAST_TO_RAW(p_key), 2);\n    v_dec_raw := SYS.DBMS_CRYPTO.DECRYPT(\n        src => v_enc_raw,\n        typ => v_algo_type,\n        key => v_key_raw\n    );\n    RETURN SYS.UTL_RAW.CAST_TO_VARCHAR2(v_dec_raw);\nEND
F	public	fn_encrypt	Schema: public\nName: fn_encrypt\nResult data type: bytea\nArgument data types: p_data text\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\nDECLARE\n    v_res RAW;\nBEGIN\n    -- EDB 패키지 (dbms_crypto, utl_raw) 사용\n    v_res := dbms_crypto.encrypt(utl_raw.cast_to_raw(p_data));\n    RETURN v_res;\nEND;\n
F	public	fn_encrypt	Schema: public\nName: fn_encrypt\nResult data type: character varying\nArgument data types: p_plain_text character varying, p_key character varying\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: definer\nLanguage: edbspl\nSource code:\n    v_src_raw    RAW(32767);\n    v_key_raw    RAW(32);\n    v_enc_raw    RAW(32767);\n    \n    -- [수정] 4358 = AES128(6) + CBC(256) + PKCS5(4096)\n    v_algo_type  PLS_INTEGER := 4358; \nBEGIN\n    IF p_plain_text IS NULL THEN\n        RETURN NULL;\n    END IF;\n    v_src_raw := SYS.UTL_RAW.CAST_TO_RAW(p_plain_text);\n    -- [수정] 해시 알고리즘을 '2' (MD5)로 변경\n    -- 이유: MD5는 16바이트를 반환하므로 AES-128(16바이트 키)과 완벽하게 매칭됨\n    v_key_raw := SYS.DBMS_CRYPTO.HASH(SYS.UTL_RAW.CAST_TO_RAW(p_key), 2);\n    v_enc_raw := SYS.DBMS_CRYPTO.ENCRYPT(\n        src => v_src_raw,\n        typ => v_algo_type,\n        key => v_key_raw\n    );\n    RETURN RAWTOHEX(v_enc_raw);\nEND
F	public	fn_migration_test	Schema: public\nName: fn_migration_test\nResult data type: void\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\nDECLARE\n    v_date DATE := sysdate;\n    v_count INT;\nBEGIN\n    -- 오라클 전용 뷰 (user_tables, dba_objects, v$session) 및 함수 (nvl, decode) 사용\n    SELECT nvl(count(*), 0) INTO v_count FROM user_tables;\n    IF decode(v_count, 0, 'ZERO', 'MANY') = 'ZERO' THEN\n        SELECT count(*) INTO v_count FROM dba_objects;\n    END IF;\n    PERFORM * FROM v$session;\nEND;\n
F	public	func_01	Schema: public\nName: func_01\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RETURN 1; \n            END; \n            
F	public	func_02	Schema: public\nName: func_02\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RETURN 2; \n            END; \n            
F	public	func_03	Schema: public\nName: func_03\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RETURN 3; \n            END; \n            
F	public	func_04	Schema: public\nName: func_04\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RETURN 4; \n            END; \n            
F	public	func_05	Schema: public\nName: func_05\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RETURN 5; \n            END; \n            
F	public	func_06	Schema: public\nName: func_06\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RETURN 6; \n            END; \n            
F	public	func_07	Schema: public\nName: func_07\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RETURN 7; \n            END; \n            
F	public	func_08	Schema: public\nName: func_08\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RETURN 8; \n            END; \n            
F	public	func_09	Schema: public\nName: func_09\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RETURN 9; \n            END; \n            
F	public	func_10	Schema: public\nName: func_10\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RETURN 10; \n            END; \n            
F	public	get_sysdate	Schema: public\nName: get_sysdate\nResult data type: timestamp without time zone\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: definer\nLanguage: edbspl\nSource code:\nBEGIN\n    RETURN SYSDATE;\nEND
P	public	proc_01	Schema: public\nName: proc_01\nResult data type: \nArgument data types: \nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RAISE NOTICE 'Procedure proc_01 executed successfully.'; \n            END; \n            
P	public	proc_02	Schema: public\nName: proc_02\nResult data type: \nArgument data types: \nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RAISE NOTICE 'Procedure proc_02 executed successfully.'; \n            END; \n            
P	public	proc_03	Schema: public\nName: proc_03\nResult data type: \nArgument data types: \nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RAISE NOTICE 'Procedure proc_03 executed successfully.'; \n            END; \n            
P	public	proc_04	Schema: public\nName: proc_04\nResult data type: \nArgument data types: \nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RAISE NOTICE 'Procedure proc_04 executed successfully.'; \n            END; \n            
P	public	proc_05	Schema: public\nName: proc_05\nResult data type: \nArgument data types: \nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RAISE NOTICE 'Procedure proc_05 executed successfully.'; \n            END; \n            
P	public	proc_06	Schema: public\nName: proc_06\nResult data type: \nArgument data types: \nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\n \n            BEGIN \n                RAISE NOTICE 'Procedure proc_06 executed successfully.'; \n            END; \n            
