table_schema	table_name	column_name	column_type	is_nullable	column_default
edb	dept	deptno	numeric	NO	
edb	dept	dname	varchar	YES	
edb	dept	loc	varchar	YES	
public	MY_NEW_TABLE	id	int4	YES	
public	MY_NEW_TABLE1	id	int4	YES	
public	Mixed_Case	Col	int4	YES	
public	a2	rowid	int4	YES	
public	a3	id	int4	YES	
public	a3	code	varchar	YES	
public	a4	id	int4	YES	
public	a4	code	bytea	YES	
public	a5	id	int4	YES	
public	a5	reg_date	timestamp	YES	sysdate
public	all_lower	col	int4	YES	
public	all_upper	col	int4	YES	
public	clob_test	id	clob	YES	
public	clob_test_1	id	int4	YES	
public	emp	empno	numeric	NO	
public	emp	ename	varchar	YES	
public	emp	job	varchar	YES	
public	emp	mgr	numeric	YES	
public	emp	hiredate	timestamp	YES	
public	emp	sal	numeric	YES	
public	emp	comm	numeric	YES	
public	emp	deptno	numeric	YES	
public	epas_emp_contracts	contract_id	numeric	NO	
public	epas_emp_contracts	emp_name	varchar	NO	
public	epas_emp_contracts	base_salary	numeric	NO	
public	epas_emp_contracts	commission	numeric	YES	
public	epas_emp_contracts	contract_date	timestamp	YES	systimestamp
public	my_new_test	id	int4	YES	
public	pg_stat_statements	userid	oid	YES	
public	pg_stat_statements	dbid	oid	YES	
public	pg_stat_statements	toplevel	bool	YES	
public	pg_stat_statements	queryid	int8	YES	
public	pg_stat_statements	query	text	YES	
public	pg_stat_statements	plans	int8	YES	
public	pg_stat_statements	total_plan_time	float8	YES	
public	pg_stat_statements	min_plan_time	float8	YES	
public	pg_stat_statements	max_plan_time	float8	YES	
public	pg_stat_statements	mean_plan_time	float8	YES	
public	pg_stat_statements	stddev_plan_time	float8	YES	
public	pg_stat_statements	calls	int8	YES	
public	pg_stat_statements	total_exec_time	float8	YES	
public	pg_stat_statements	min_exec_time	float8	YES	
public	pg_stat_statements	max_exec_time	float8	YES	
public	pg_stat_statements	mean_exec_time	float8	YES	
public	pg_stat_statements	stddev_exec_time	float8	YES	
public	pg_stat_statements	rows	int8	YES	
public	pg_stat_statements	shared_blks_hit	int8	YES	
public	pg_stat_statements	shared_blks_read	int8	YES	
public	pg_stat_statements	shared_blks_dirtied	int8	YES	
public	pg_stat_statements	shared_blks_written	int8	YES	
public	pg_stat_statements	local_blks_hit	int8	YES	
