schema_name	table_name	source_text
demo	customer_docs	Table "demo.customer_docs"\n\nColumns:\n  doc_id | bigint | not null | \n  customer_id | bigint | not null | \n  doc_name | character varying(200) | not null | \n  doc_text | clob |  | \n  doc_bin | bytea |  | \n  created_at | timestamp without time zone |  | sysdate\n\nIndexes:\n  CREATE UNIQUE INDEX customer_docs_pkey ON demo.customer_docs USING btree (doc_id)\n\nForeign-key constraints:\n  customer_docs_customer_id_fkey FOREIGN KEY (customer_id) REFERENCES demo.customers(customer_id)\n\nPolicies:\n  (none)
demo	customers	Table "demo.customers"\n\nColumns:\n  customer_id | bigint | not null | \n  customer_name | character varying(100) | not null | \n  email | character varying(200) | not null | \n  created_at | timestamp without time zone | not null | sysdate\n\nIndexes:\n  CREATE UNIQUE INDEX customers_email_key ON demo.customers USING btree (email)\n  CREATE UNIQUE INDEX customers_pkey ON demo.customers USING btree (customer_id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
demo	large_binary_chunks	Table "demo.large_binary_chunks"\n\nColumns:\n  chunk_id | bigint | not null | \n  chunk_name | character varying(100) |  | \n  chunk_bin | bytea |  | \n  created_at | timestamp without time zone |  | sysdate\n\nIndexes:\n  CREATE UNIQUE INDEX large_binary_chunks_chunk_name_key ON demo.large_binary_chunks USING btree (chunk_name)\n  CREATE UNIQUE INDEX large_binary_chunks_pkey ON demo.large_binary_chunks USING btree (chunk_id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
demo	large_text_chunks	Table "demo.large_text_chunks"\n\nColumns:\n  chunk_id | bigint | not null | \n  chunk_name | character varying(100) |  | \n  chunk_text | clob |  | \n  created_at | timestamp without time zone |  | sysdate\n\nIndexes:\n  CREATE UNIQUE INDEX large_text_chunks_chunk_name_key ON demo.large_text_chunks USING btree (chunk_name)\n  CREATE UNIQUE INDEX large_text_chunks_pkey ON demo.large_text_chunks USING btree (chunk_id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
demo	orders	Table "demo.orders"\n\nColumns:\n  order_id | bigint | not null | \n  customer_id | bigint | not null | \n  product_name | character varying(100) | not null | \n  quantity | numeric(10,0) | not null | \n  unit_price | numeric(12,2) | not null | \n  ordered_at | timestamp without time zone | not null | sysdate\n\nIndexes:\n  CREATE UNIQUE INDEX orders_pkey ON demo.orders USING btree (order_id)\n  CREATE UNIQUE INDEX ux_demo_orders_nk ON demo.orders USING btree (customer_id, product_name, quantity, unit_price)\n\nForeign-key constraints:\n  orders_customer_id_fkey FOREIGN KEY (customer_id) REFERENCES demo.customers(customer_id)\n\nPolicies:\n  (none)
demo	type_samples	Table "demo.type_samples"\n\nColumns:\n  sample_id | bigint | not null | \n  v_varchar2 | character varying(100) |  | \n  v_char | character(10) |  | \n  v_number | numeric(18,4) |  | \n  v_integer | integer |  | \n  v_date | timestamp without time zone |  | \n  v_timestamp | timestamp without time zone |  | \n  v_clob | clob |  | \n  v_blob | bytea |  | \n  v_nvarchar2 | character varying(100) |  | \n  v_interval | interval day to second |  | \n  v_flag | character(1) |  | \n\nIndexes:\n  CREATE UNIQUE INDEX type_samples_pkey ON demo.type_samples USING btree (sample_id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
demo_cron	batch_history	Table "demo_cron.batch_history"\n\nColumns:\n  batch_id | bigint | not null | \n  batch_tag | character varying(100) | not null | \n  requested_kb | numeric(10,0) | not null | \n  generated_rows | numeric(10,0) | not null | \n  created_at | timestamp without time zone | not null | sysdate\n\nIndexes:\n  CREATE UNIQUE INDEX batch_history_pkey ON demo_cron.batch_history USING btree (batch_id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
demo_cron	payload_store	Table "demo_cron.payload_store"\n\nColumns:\n  payload_id | bigint | not null | \n  batch_id | bigint | not null | \n  payload_key | character varying(100) | not null | \n  payload_text | clob |  | \n  payload_bin | bytea |  | \n  created_at | timestamp without time zone | not null | sysdate\n\nIndexes:\n  CREATE UNIQUE INDEX payload_store_payload_key_key ON demo_cron.payload_store USING btree (payload_key)\n  CREATE UNIQUE INDEX payload_store_pkey ON demo_cron.payload_store USING btree (payload_id)\n\nForeign-key constraints:\n  payload_store_batch_id_fkey FOREIGN KEY (batch_id) REFERENCES demo_cron.batch_history(batch_id)\n\nPolicies:\n  (none)
demo_cron	sensor_metrics	Table "demo_cron.sensor_metrics"\n\nColumns:\n  metric_id | bigint | not null | \n  batch_id | bigint | not null | \n  device_code | character varying(50) | not null | \n  temperature | numeric(5,2) | not null | \n  humidity | numeric(5,2) | not null | \n  metric_time | timestamp without time zone | not null | sysdate\n\nIndexes:\n  CREATE UNIQUE INDEX sensor_metrics_pkey ON demo_cron.sensor_metrics USING btree (metric_id)\n\nForeign-key constraints:\n  sensor_metrics_batch_id_fkey FOREIGN KEY (batch_id) REFERENCES demo_cron.batch_history(batch_id)\n\nPolicies:\n  (none)
demo_cron	txn_events	Table "demo_cron.txn_events"\n\nColumns:\n  event_id | bigint | not null | \n  batch_id | bigint | not null | \n  event_type | character varying(30) | not null | \n  amount | numeric(12,2) | not null | \n  status | character varying(20) | not null | \n  event_time | timestamp without time zone | not null | sysdate\n  event_note | clob |  | \n\nIndexes:\n  CREATE UNIQUE INDEX txn_events_pkey ON demo_cron.txn_events USING btree (event_id)\n\nForeign-key constraints:\n  txn_events_batch_id_fkey FOREIGN KEY (batch_id) REFERENCES demo_cron.batch_history(batch_id)\n\nPolicies:\n  (none)
