object_type	schema_name	object_name	feature
P	public	calc_emp_bonus	dbms_output
P	public	calc_emp_bonus	dbms_output
P	public	calc_emp_bonus	dbms_output
P	public	calc_emp_bonus	dbms_output
P	public	calc_emp_bonus	dbms_output
P	public	calc_emp_bonus	dbms_output
P	public	calc_emp_bonus	dbms_output
F	public	fn_decrypt	dbms_crypto
F	public	fn_decrypt	utl_raw
F	public	fn_decrypt	utl_raw
F	public	fn_decrypt	dbms_crypto.decrypt
F	public	fn_decrypt	dbms_crypto.hash
F	public	fn_decrypt	utl_raw
F	public	fn_decrypt	dbms_crypto.decrypt
F	public	fn_decrypt	utl_raw
F	public	fn_encrypt	utl_raw
F	public	fn_encrypt	dbms_crypto.encrypt
F	public	fn_encrypt	utl_raw
F	public	fn_encrypt	dbms_crypto.encrypt
F	public	fn_encrypt	utl_raw
F	public	fn_encrypt	dbms_crypto
F	public	fn_encrypt	utl_raw
F	public	fn_encrypt	dbms_crypto.hash
P	sc_crypto	proc_generate_crypto_data	utl_raw
P	sc_crypto	proc_generate_crypto_data	dbms_crypto.encrypt
P	sc_crypto	proc_generate_crypto_data	dbms_crypto.randombytes
P	sc_crypto	proc_generate_crypto_data	dbms_crypto.hash
P	sc_crypto	proc_generate_crypto_data	utl_raw
