object_type	schema_name	object_name	source_text
F	public	pg_stat_statements_info	Schema: public\nName: pg_stat_statements_info\nResult data type: record\nArgument data types: OUT dealloc bigint, OUT stats_reset timestamp with time zone\nType: func\nVolatility: volatile\nParallel: safe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: c\nSource code:\npg_stat_statements_info
F	public	pg_stat_statements	Schema: public\nName: pg_stat_statements\nResult data type: SETOF record\nArgument data types: showtext boolean, OUT userid oid, OUT dbid oid, OUT toplevel boolean, OUT queryid bigint, OUT query text, OUT plans bigint, OUT total_plan_time double precision, OUT min_plan_time double precision, OUT max_plan_time double precision, OUT mean_plan_time double precision, OUT stddev_plan_time double precision, OUT calls bigint, OUT total_exec_time double precision, OUT min_exec_time double precision, OUT max_exec_time double precision, OUT mean_exec_time double precision, OUT stddev_exec_time double precision, OUT rows bigint, OUT shared_blks_hit bigint, OUT shared_blks_read bigint, OUT shared_blks_dirtied bigint, OUT shared_blks_written bigint, OUT local_blks_hit bigint, OUT local_blks_read bigint, OUT local_blks_dirtied bigint, OUT local_blks_written bigint, OUT temp_blks_read bigint, OUT temp_blks_written bigint, OUT shared_blk_read_time double precision, OUT shared_blk_write_time double precision, OUT local_blk_read_time double precision, OUT local_blk_write_time double precision, OUT temp_blk_read_time double precision, OUT temp_blk_write_time double precision, OUT wal_records bigint, OUT wal_fpi bigint, OUT wal_bytes numeric, OUT jit_functions bigint, OUT jit_generation_time double precision, OUT jit_inlining_count bigint, OUT jit_inlining_time double precision, OUT jit_optimization_count bigint, OUT jit_optimization_time double precision, OUT jit_emission_count bigint, OUT jit_emission_time double precision, OUT jit_deform_count bigint, OUT jit_deform_time double precision, OUT stats_since timestamp with time zone, OUT minmax_stats_since timestamp with time zone\nType: func\nVolatility: volatile\nParallel: safe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: c\nSource code:\npg_stat_statements_1_11
P	dbms_alert	register	Schema: dbms_alert\nName: register\nResult data type: \nArgument data types: IN name text\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd5sVMo09grzZ88ICi5z9kVP/icWJwlVIW4j6+ZwTem6UyWblOHXRj0l06c4cG9AhrxGc3bgrcKJB\nWjk9PAtGQ+dUcVtOwndbCyj/OVtmshQupjopcsBLQvYq1kw0KwSjPjXo06GiJsMRHrA2VhILRrA/\n80ZYxw==\n$__EDBwrapped__$
P	dbms_alert	remove	Schema: dbms_alert\nName: remove\nResult data type: \nArgument data types: IN name text\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd4+D8Xx+ZcvTPi3qESE2YYlYAdpXhDZjRItLEaiSNxI0Q0Au5b1AsXbgpJGx6kEDsXC88n5g7Cz/\nA5GHrLDYh/uA4IP7qkPlSBk5YdVF7M/szNjvCneIcQ8jXNaHoxTg4rcZVGqj7FUekt2f+WB2JcDa\njjw=\n$__EDBwrapped__$
P	dbms_alert	removeall	Schema: dbms_alert\nName: removeall\nResult data type: \nArgument data types: \nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd0KKbWVjqPBokeiZqzkm67X3E4TPfKKHGbmGYXLdDVlgBODNtgKpGYh+cbI58c0UcV2vNCFp1anY\nyI0RROTQBk4Yxul6k5EmDz7UzTXap5INo7OQlDKu50z3/lb20Z7igvTHX19M8ie5rPvsmfJBo4qI\nMw==\n$__EDBwrapped__$
P	dbms_alert	signal	Schema: dbms_alert\nName: signal\nResult data type: \nArgument data types: IN name text, IN message text\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd14gH/RejLzTGj+3BPsksbRkgjeBDorIuEoQumhrqhVGq1hQkWNo17V+Z7A0sdnSJ5ktPGZdeaxN\nO5/bns4Jv2exmyGdz1UzUQuUD1oTgYZ/iWoVESUyZsYKloAS9luuOLheIZdiZZcz/BsgGpFDA4v8\n6arP80HgErtp0PYr\n$__EDBwrapped__$
P	dbms_alert	waitany	Schema: dbms_alert\nName: waitany\nResult data type: \nArgument data types: OUT name text, OUT message text, OUT status integer, IN timeout double precision\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd2nKkqSuJzKZz2WQirj2/Sdq/pTlB5NSaERMfDO9OaVXXyXc7IWia6pB3yps1woOKg5MvMF58P4E\nRa5Jc+8QgTvi0RTER97EXjy9ttdHFprUOw0/LZ8t2AkNrzUMIIloSxYimmMan2gseNmWn1RHcisB\ngte0Jnx2AxO4XAy/CM6ya7TAuZch11rJ+Di+N01kCKfxiRulvZdHGzhX/8rcZqphPvp9vzClxFkD\n$__EDBwrapped__$
P	dbms_alert	waitone	Schema: dbms_alert\nName: waitone\nResult data type: \nArgument data types: IN name text, OUT message text, OUT status integer, IN timeout double precision\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd4OgNToJKQMOEVixI8FSi0sTZ2l8JFFoVX3wV93bj6WsVuLmQ26qlvPYZhzJ+7LXDMowFurwy1Di\nalvK5siBwAD1fDjXpoBWJVDOCiB6IdBw5FhfXvuaQxgMvPzcm2ZK7PDQGb0XX4p+Nmgx6E/5v5sf\nQW7Lf3JnY5Wu2Hsz84prnQD0fpMQjts4FnMONbjaBeupcAT5VV0nUXzvV6v0JHoKYhE/Jf7v\n$__EDBwrapped__$
P	dbms_alert	set_defaults	Schema: dbms_alert\nName: set_defaults\nResult data type: \nArgument data types: IN sensitivity double precision\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\ndzoYvzluCnwE0tMIlupHVqMnL+4MQx8Iq594QCFln4FhprmmGzbo+40LnM1lfnMNIgaeOPxMsQcb\nwXKTIQKlKy7MX1fOn3CFQt0xUrOmlMwYTiulqOibW+mWh4LDfgPdEgszIZMY7kXuI766v/6tzGC+\nZ/pCprDLlgFHiDQFNANPI45QfA==\n$__EDBwrapped__$
P	dbms_alert	_signal	Schema: dbms_alert\nName: _signal\nResult data type: \nArgument data types: IN _event text, IN _message text\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\ndwE6TWIjtW4y7+wuDvuow5pFN18e21aFYYGp2kQuNpVOnJwq01DUHmjF/vAJj7shA4LL3rLCanu/\nFAx3nnXx5CofbOXL/O0cz5epdz3HQqcrHnDHEjv7CGbfC3jewJIYOzanv3GtZKiJHdF4+OFYd++d\ng8o0n/gtTEG0KiYVmx1F\n$__EDBwrapped__$
