object_type	schema_name	object_name	detected_keyword
P	public	calc_emp_bonus	sqlerrm
P	public	calc_emp_bonus	edbspl
F	public	edb_password_verify	edbspl
F	public	fn_decrypt	raw
F	public	fn_decrypt	raw
F	public	fn_decrypt	raw
F	public	fn_decrypt	dbms_crypto.decrypt
F	public	fn_decrypt	dbms_crypto.decrypt
F	public	fn_decrypt	dbms_crypto
F	public	fn_decrypt	edbspl
F	public	fn_decrypt	dbms_crypto.hash
F	public	fn_encrypt	raw
F	public	fn_encrypt	raw
F	public	fn_encrypt	dbms_crypto
F	public	fn_encrypt	dbms_crypto.encrypt
F	public	fn_encrypt	raw
F	public	fn_encrypt	raw
F	public	fn_encrypt	dbms_crypto.hash
F	public	fn_encrypt	dbms_crypto.encrypt
F	public	fn_encrypt	edbspl
F	public	fn_migration_test	nvl
F	public	fn_migration_test	sysdate
F	public	fn_migration_test	decode
F	public	fn_migration_test	decode
F	public	fn_migration_test	nvl
F	public	get_sysdate	sysdate
F	public	get_sysdate	edbspl
F	public	sal_lt_2000	edbspl
F	public	verify_session_user	edbspl
V	public	v_epas_contract_info	add_months
V	public	v_epas_contract_info	systimestamp
V	public	v_epas_contract_info	nvl
V	public	v_epas_contract_info	nvl
P	sc_crypto	proc_generate_crypto_data	raw
P	sc_crypto	proc_generate_crypto_data	dbms_crypto.hash
P	sc_crypto	proc_generate_crypto_data	dbms_crypto.encrypt
P	sc_crypto	proc_generate_crypto_data	raw
P	sc_crypto	proc_generate_crypto_data	raw
P	sc_crypto	proc_generate_crypto_data	raw
P	sc_crypto	proc_generate_crypto_data	edbspl
P	sc_crypto	proc_generate_crypto_data	dbms_crypto.randombytes
