schema_name	table_name	source_text
edb	dept	Table "edb.dept"\n\nColumns:\n  deptno | numeric(2,0) | not null | \n  dname | character varying(14) |  | \n  loc | character varying(13) |  | \n\nIndexes:\n  CREATE UNIQUE INDEX dept_dname_uq ON edb.dept USING btree (dname)\n  CREATE UNIQUE INDEX dept_pk ON edb.dept USING btree (deptno)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	MY_NEW_TABLE	Table "public.MY_NEW_TABLE"\n\nColumns:\n  id | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	MY_NEW_TABLE1	Table "public.MY_NEW_TABLE1"\n\nColumns:\n  id | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	Mixed_Case	Table "public.Mixed_Case"\n\nColumns:\n  Col | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	a2	Table "public.a2"\n\nColumns:\n  rowid | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	a3	Table "public.a3"\n\nColumns:\n  id | integer |  | \n  code | character varying |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	a4	Table "public.a4"\n\nColumns:\n  id | integer |  | \n  code | bytea |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	a5	Table "public.a5"\n\nColumns:\n  id | integer |  | \n  reg_date | timestamp without time zone |  | sysdate\n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	all_lower	Table "public.all_lower"\n\nColumns:\n  col | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	all_upper	Table "public.all_upper"\n\nColumns:\n  col | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	clob_test	Table "public.clob_test"\n\nColumns:\n  id | clob |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	emp	Table "public.emp"\n\nColumns:\n  empno | numeric(4,0) | not null | \n  ename | character varying(10) |  | \n  job | character varying(9) |  | \n  mgr | numeric(4,0) |  | \n  hiredate | timestamp without time zone |  | \n  sal | numeric(7,2) |  | \n  comm | numeric(7,2) |  | \n  deptno | numeric(2,0) |  | \n\nIndexes:\n  CREATE UNIQUE INDEX emp_pkey ON emp USING btree (empno)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	epas_emp_contracts	Table "public.epas_emp_contracts"\n\nColumns:\n  contract_id | numeric | not null | \n  emp_name | character varying(50) | not null | \n  base_salary | numeric | not null | \n  commission | numeric |  | \n  contract_date | timestamp without time zone |  | systimestamp\n\nIndexes:\n  CREATE UNIQUE INDEX epas_emp_contracts_pkey ON epas_emp_contracts USING btree (contract_id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	my_new_test	Table "public.my_new_test"\n\nColumns:\n  id | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	pgbench_branches	Table "public.pgbench_branches"\n\nColumns:\n  bid | integer | not null | \n  bbalance | integer |  | \n  filler | character(88) |  | \n\nIndexes:\n  CREATE UNIQUE INDEX pgbench_branches_pkey ON pgbench_branches USING btree (bid)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	pgbench_history	Table "public.pgbench_history"\n\nColumns:\n  tid | integer |  | \n  bid | integer |  | \n  aid | integer |  | \n  delta | integer |  | \n  mtime | timestamp without time zone |  | \n  filler | character(22) |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
